from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,P-Xylene,NH3,NO2,NOx,NO,SO2,CO,Ozone,to date,station
04-Dec-2018 - 00:00,16.7,993.91,353.61,144.83,74.99,61.02,226.19,0.47,13.06,115.09,,29.61,109.93,247.42,198.33,14.95,4.19,26.73,05-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Dec-2018 - 00:00,16.47,991.51,342.66,140.89,76.31,61.66,228.47,0.52,12.25,110.02,,33.17,88.96,187.15,178.57,12.16,3.66,28.18,06-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Dec-2018 - 00:00,16.25,990.86,385.1,152.79,77.89,48.37,226.25,0.44,15.2,146.48,,32.94,108.64,249.27,183.6,15.82,4.45,29.31,07-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Dec-2018 - 00:00,15.64,991.66,366.86,147.24,78.67,59.62,238.56,0.58,11.75,109.54,,33.14,81.51,215.37,211.14,11.41,3.18,27.53,08-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Dec-2018 - 00:00,15.51,992.61,365.51,150.92,77.89,57.18,203.87,0.45,11.12,99.51,,32.58,90.97,164.97,147.39,14.9,3.41,35.71,09-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Dec-2018 - 00:00,15.31,991.53,388.92,153.78,77.55,50.25,195.1,0.44,11.31,96.24,,33.73,103.54,201.47,185.57,14.76,4.06,30.77,10-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Dec-2018 - 00:00,15.21,991.13,457.6,181.7,83.58,46.17,130.37,0.52,10.92,88.59,,37.88,96.17,280.97,199.95,11.97,4.62,28.62,11-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Dec-2018 - 00:00,15.54,992.13,479.54,226.23,83.99,43.97,143.56,0.45,10.69,93.7,,39.44,98.49,256.63,124.77,12.93,4.64,21.62,12-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Dec-2018 - 00:00,16.53,993.51,336.96,204.93,82.05,36.71,141.95,0.68,7.97,73.74,,39.6,72.23,162.44,144.44,11.18,2.7,25.12,13-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Dec-2018 - 00:00,15.76,996.53,158.18,84.81,79.13,53.01,182.46,0.67,4.0,38.18,,30.7,57.81,76.12,55.69,10.71,1.37,22.04,14-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Dec-2018 - 00:00,14.77,998.53,200.35,107.21,78.98,59.49,246.31,0.74,4.74,39.79,,29.7,54.58,61.29,39.59,10.87,1.47,19.06,15-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Dec-2018 - 00:00,15.13,998.08,233.12,121.26,73.6,61.2,268.01,0.88,5.18,40.1,,30.95,53.6,57.68,35.77,10.78,1.42,15.44,16-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Dec-2018 - 00:00,14.27,998.4,289.28,137.19,75.46,63.14,240.4,0.64,5.23,43.0,,36.91,38.63,95.71,92.21,14.71,2.19,23.55,17-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Dec-2018 - 00:00,13.4,996.99,357.73,169.73,74.36,55.01,248.19,0.56,11.32,73.19,,38.93,63.61,189.75,186.01,13.64,2.86,17.31,18-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Dec-2018 - 00:00,13.32,995.23,369.09,221.2,69.77,59.93,247.21,0.78,17.98,85.48,,38.5,87.46,131.76,104.67,13.69,2.41,20.28,19-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Dec-2018 - 00:00,13.36,994.34,350.64,191.39,72.72,59.64,238.11,0.61,12.22,46.75,,35.47,94.75,162.31,137.68,14.08,2.47,17.62,20-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Dec-2018 - 00:00,12.72,994.65,425.61,238.33,73.56,57.47,227.54,0.48,21.74,84.65,,35.35,94.61,248.81,224.79,17.15,3.78,17.73,21-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Dec-2018 - 00:00,12.18,993.53,442.6,246.98,76.76,57.32,245.14,0.58,17.81,79.6,,43.16,91.8,142.84,121.7,14.07,3.29,18.65,22-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Dec-2018 - 00:00,12.22,993.95,500.41,280.31,77.19,54.47,193.62,0.53,17.33,76.91,,36.06,111.11,174.4,146.13,15.77,3.92,14.54,23-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Dec-2018 - 00:00,12.39,994.72,564.89,313.07,81.72,48.43,169.02,0.5,22.01,95.35,,38.22,96.67,194.71,132.42,12.83,4.95,18.32,24-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Dec-2018 - 00:00,12.52,993.87,545.06,288.51,78.88,48.19,220.79,0.51,22.29,98.15,,54.59,95.59,255.94,244.03,14.23,4.4,16.7,25-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Dec-2018 - 00:00,12.02,993.24,437.33,242.93,80.55,53.34,245.04,0.84,17.14,71.5,,65.72,76.85,116.23,92.42,10.38,2.52,18.38,26-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Dec-2018 - 00:00,11.71,991.79,386.77,192.88,74.82,55.03,233.22,0.61,12.74,44.76,,47.45,88.28,88.07,58.52,14.03,2.85,18.83,27-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Dec-2018 - 00:00,12.23,992.91,434.71,212.06,70.53,44.92,207.62,0.58,20.67,101.64,,48.02,94.9,192.91,119.21,15.02,3.97,13.79,28-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Dec-2018 - 00:00,11.28,993.35,409.81,195.16,77.15,49.05,248.04,0.82,12.41,50.13,,55.32,76.19,106.5,81.09,13.16,2.19,16.21,29-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Dec-2018 - 00:00,11.12,995.46,448.36,184.68,73.79,55.69,238.52,0.71,12.19,52.07,,45.74,81.05,114.36,91.96,14.32,2.61,18.26,30-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Dec-2018 - 00:00,11.97,997.51,484.01,223.49,73.04,52.87,233.86,0.41,19.88,103.68,,48.61,92.03,185.67,167.95,16.47,4.24,19.46,31-Dec-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
31-Dec-2018 - 00:00,7.8,997.85,614.0,295.0,98.65,1.5,265.75,0.55,27.15,150.1,,55.9,114.75,,,14.65,7.7,1.3,01-Jan-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
